journal	category1	category2	category3	category4	category5	category6
ADIPOCYTE	ENDOCRINOLOGY & METABOLISM					
ADSORPTION-JOURNAL OF THE INTERNATIONAL ADSORPTION SOCIETY	CHEMISTRY, PHYSICAL	ENGINEERING, CHEMICAL				
ADSORPTION SCIENCE & TECHNOLOGY	CHEMISTRY, APPLIED	CHEMISTRY, PHYSICAL	ENGINEERING, CHEMICAL			
ADVANCED COMPOSITE MATERIALS	MATERIALS SCIENCE, COMPOSITES					
ADVANCED COMPOSITES LETTERS	MATERIALS SCIENCE, COMPOSITES					
ADVANCED DRUG DELIVERY REVIEWS	PHARMACOLOGY & PHARMACY					
ADVANCED ELECTRONIC MATERIALS	MATERIALS SCIENCE, MULTIDISCIPLINARY	NANOSCIENCE & NANOTECHNOLOGY	PHYSICS, APPLIED			
ADVANCED ENERGY MATERIALS	CHEMISTRY, PHYSICAL	ENERGY & FUELS	MATERIALS SCIENCE, MULTIDISCIPLINARY	PHYSICS, APPLIED	PHYSICS, CONDENSED MATTER	
ADVANCED ENGINEERING INFORMATICS	COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE	ENGINEERING, MULTIDISCIPLINARY				
ADVANCED ENGINEERING MATERIALS	MATERIALS SCIENCE, MULTIDISCIPLINARY					
ADVANCED FUNCTIONAL MATERIALS	CHEMISTRY, MULTIDISCIPLINARY	CHEMISTRY, PHYSICAL	MATERIALS SCIENCE, MULTIDISCIPLINARY	NANOSCIENCE & NANOTECHNOLOGY	PHYSICS, APPLIED	PHYSICS, CONDENSED MATTER
ADVANCED HEALTHCARE MATERIALS	ENGINEERING, BIOMEDICAL	MATERIALS SCIENCE, BIOMATERIALS	NANOSCIENCE & NANOTECHNOLOGY			
ADVANCED MATERIALS	CHEMISTRY, MULTIDISCIPLINARY	CHEMISTRY, PHYSICAL	MATERIALS SCIENCE, MULTIDISCIPLINARY	NANOSCIENCE & NANOTECHNOLOGY	PHYSICS, APPLIED	PHYSICS, CONDENSED MATTER
ADVANCED MATERIALS & PROCESSES	MATERIALS SCIENCE, MULTIDISCIPLINARY					
ADVANCED MATERIALS INTERFACES	CHEMISTRY, MULTIDISCIPLINARY	MATERIALS SCIENCE, MULTIDISCIPLINARY				
ADVANCED MATERIALS TECHNOLOGIES	MATERIALS SCIENCE, MULTIDISCIPLINARY					
ADVANCED NONLINEAR STUDIES	MATHEMATICS	MATHEMATICS, APPLIED				
ADVANCED OPTICAL MATERIALS	MATERIALS SCIENCE, MULTIDISCIPLINARY	OPTICS				
ADVANCED POWDER TECHNOLOGY	ENGINEERING, CHEMICAL					
ADVANCED ROBOTICS	ROBOTICS					
ADVANCED SCIENCE	CHEMISTRY, MULTIDISCIPLINARY	MATERIALS SCIENCE, MULTIDISCIPLINARY	NANOSCIENCE & NANOTECHNOLOGY			
ADVANCED STEEL CONSTRUCTION	CONSTRUCTION & BUILDING TECHNOLOGY	ENGINEERING, CIVIL	MATERIALS SCIENCE, CHARACTERIZATION & TESTING			
ADVANCED SYNTHESIS & CATALYSIS	CHEMISTRY, APPLIED	CHEMISTRY, ORGANIC				
ADVANCES IN AGRONOMY	AGRONOMY					
ADVANCES IN ANATOMIC PATHOLOGY	PATHOLOGY					
ADVANCES IN ANATOMY EMBRYOLOGY AND CELL BIOLOGY	ANATOMY & MORPHOLOGY	CELL BIOLOGY				
ADVANCES IN APPLIED CERAMICS	MATERIALS SCIENCE, CERAMICS					
ADVANCES IN APPLIED CLIFFORD ALGEBRAS	MATHEMATICS, APPLIED	PHYSICS, MATHEMATICAL				
ADVANCES IN APPLIED MATHEMATICS	MATHEMATICS, APPLIED					
ADVANCES IN APPLIED MATHEMATICS AND MECHANICS	MATHEMATICS, APPLIED	MECHANICS				
ADVANCES IN APPLIED MECHANICS	ENGINEERING, MECHANICAL	MECHANICS				
ADVANCES IN APPLIED MICROBIOLOGY	BIOTECHNOLOGY & APPLIED MICROBIOLOGY	MICROBIOLOGY				
ADVANCES IN APPLIED PROBABILITY	STATISTICS & PROBABILITY					
ADVANCES IN ASTRONOMY	ASTRONOMY & ASTROPHYSICS					
ADVANCES IN ATMOSPHERIC SCIENCES	METEOROLOGY & ATMOSPHERIC SCIENCES					
ADVANCES IN ATOMIC MOLECULAR AND OPTICAL PHYSICS	OPTICS	PHYSICS, ATOMIC, MOLECULAR & CHEMICAL				
ADVANCES IN BIOCHEMICAL ENGINEERING-BIOTECHNOLOGY	BIOTECHNOLOGY & APPLIED MICROBIOLOGY					
ADVANCES IN BOTANICAL RESEARCH	PLANT SCIENCES					
ADVANCES IN CALCULUS OF VARIATIONS	MATHEMATICS	MATHEMATICS, APPLIED				
ADVANCES IN CANCER RESEARCH	ONCOLOGY					
ADVANCES IN CARBOHYDRATE CHEMISTRY AND BIOCHEMISTRY	BIOCHEMISTRY & MOLECULAR BIOLOGY	CHEMISTRY, ORGANIC				
ADVANCES IN CATALYSIS	CHEMISTRY, PHYSICAL					
ADVANCES IN CEMENT RESEARCH	CONSTRUCTION & BUILDING TECHNOLOGY	MATERIALS SCIENCE, MULTIDISCIPLINARY				
ADVANCES IN CHEMICAL PHYSICS	PHYSICS, ATOMIC, MOLECULAR & CHEMICAL					
ADVANCES IN CHROMATOGRAPHY	CHEMISTRY, ANALYTICAL					
ADVANCES IN CHRONIC KIDNEY DISEASE	UROLOGY & NEPHROLOGY					
ADVANCES IN CIVIL ENGINEERING	CONSTRUCTION & BUILDING TECHNOLOGY	ENGINEERING, CIVIL				
ADVANCES IN CLINICAL AND EXPERIMENTAL MEDICINE	MEDICINE, RESEARCH & EXPERIMENTAL					
ADVANCES IN CLINICAL CHEMISTRY	MEDICAL LABORATORY TECHNOLOGY					
ADVANCES IN COLLOID AND INTERFACE SCIENCE	CHEMISTRY, PHYSICAL					
